Area_Name,class
Bembezaan ICA,Intensive Conservation Area
Nharira CL,Communal Land
Dutchmans Pool Dam,
Tsungwesi ICA,Intensive Conservation Area
Mashanu SSCFA,Small-Scale Commercial Farm Area
Mutare South ICA,Intensive Conservation Area
Leo-Hurst SSCFA,Small-Scale Commercial Farm Area
Sebakwe RP,
Gwayi SSCFA,Small-Scale Commercial Farm Area
Endovean SSCFA,Small-Scale Commercial Farm Area
Save CL,Communal Land
Mutema CL,Communal Land
Gweru East ICA,Intensive Conservation Area
Rowa CL,Communal Land
Rowa SSCFA,Small-Scale Commercial Farm Area
Rowa CL,Communal Land
Marange CL,Communal Land
Chinyauwhera CL,Communal Land
Mutambara CL,Communal Land
Silobela SSCFA,Small-Scale Commercial Farm Area
Zimutu CL,Communal Land
Thompsons SSCFA,Small-Scale Commercial Farm Area
Vungu ICA,Intensive Conservation Area
Bubi ICA,Intensive Conservation Area
Inkosikazi CL,Communal Land
Rowa SSCFA,Small-Scale Commercial Farm Area
Zimunya CL,Communal Land
Molo FL,Forest Land
Bembesi FL,Forest Land
Chinyauwhera SSCFA,Small-Scale Commercial Farm Area
Denhere CL,Communal Land
Nyazvidzi SSCFA,Small-Scale Commercial Farm Area
Chikwanda CL,Communal Land
Mvuma ICA,Intensive Conservation Area
Umguza FL,Forest Land
Umzimbani FL,Forest Land
Shurugwi ICA,Intensive Conservation Area
Inseze FL,Forest Land
Mhandarume SSCFA,Small-Scale Commercial Farm Area
Shangani Dam,
Shangani Dam,
Inyati SSCFA,Small-Scale Commercial Farm Area
Inyati CL,Communal Land
Dewure SSCFA,Small-Scale Commercial Farm Area
Bikita CL,Communal Land
Nyamsundu-Biriwiri S,
Mshagashe SSCFA,Small-Scale Commercial Farm Area
Save Valley ICA,Intensive Conservation Area
Mungezi SSCFA,Small-Scale Commercial Farm Area
Masvingo East ICA,Intensive Conservation Area
Fingo SSCFA,Small-Scale Commercial Farm Area
Insiza-Shangani ICA,Intensive Conservation Area
Ntabazinduna CL,Communal Land
Esigodini ICA,Intensive Conservation Area
Chipinge ICA,Intensive Conservation Area
Masvingo East ICA,Intensive Conservation Area
Runde CL,Communal Land
Mchingwe ICA,Intensive Conservation Area
Mashava South CL,Communal Land
Bangala Dam RP,
Ndanga CL,Communal Land
Figtree ICA,Intensive Conservation Area
Samenani SSCFA,Small-Scale Commercial Farm Area
BULAWAYO,
Figtree ICA,Intensive Conservation Area
Chipinge SA,Safari Area
Lake Kyle RP,
Esiphezini CL,Communal Land
Mtirikwi CL,Communal Land
Glassblock CL,Communal Land
